variant,outcome,focal_z,predicted_reactivity_db,ci95_pointwise_low,ci95_pointwise_high,other_scale_z_held,male_fraction_held,partnered_fraction_held
primary_posterior_roi_spline,STAI_trait,-0.09718191066,5.512583617,4.741992279,6.283174955,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.07899153109,5.517491907,4.754088746,6.280895069,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.06080115153,5.522667088,4.766354353,6.278979823,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.04261077196,5.528108219,4.778750066,6.277466371,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.02442039239,5.533814355,4.791236651,6.27639206,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,-0.006230012825,5.539784556,4.803774896,6.275794216,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.01196036674,5.546017879,4.816325853,6.275709904,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.03015074631,5.552513381,4.828851098,6.276175663,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.04834112588,5.559270119,4.841313023,6.277227215,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.06653150544,5.566287152,4.853675141,6.278899163,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.08472188501,5.573563536,4.865902413,6.28122466,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.1029122646,5.581098331,4.87796159,6.284235071,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.1211026441,5.588890592,4.88982155,6.287959633,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.1392930237,5.596939377,4.901453651,6.292425104,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.1574834033,5.605243745,4.912832063,6.297655427,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.1756737828,5.613802752,4.92393409,6.303671414,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.1938641624,5.622615457,4.934740462,6.310490452,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.212054542,5.631680916,4.94523559,6.318126242,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.2302449215,5.640998188,4.955407786,6.326588589,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.2484353011,5.650566329,4.965249419,6.33588324,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.2666256807,5.660384398,4.974757023,6.346011773,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.2848160603,5.670451452,4.983931344,6.35697156,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.3030064398,5.680766548,4.992777317,6.36875578,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.3211968194,5.691328745,5.001303994,6.381353496,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.339387199,5.702137099,5.0095244,6.394749798,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.3575775785,5.713190668,5.017455348,6.408925989,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.3757679581,5.724488511,5.025117202,6.423859819,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.3939583377,5.736029683,5.032533601,6.439525765,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.4121487172,5.747813243,5.039731158,6.455895329,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.4303390968,5.759838249,5.046739137,6.472937361,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.4485294764,5.772103758,5.053589121,6.490618395,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.4667198559,5.784608827,5.060314676,6.508902978,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.4849102355,5.797352514,5.066951019,6.52775401,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.5031006151,5.810333877,5.073534704,6.547133051,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.5212909946,5.823551974,5.080103313,6.567000634,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.5394813742,5.837005861,5.086695181,6.58731654,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.5576717538,5.850694596,5.093349132,6.60804006,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.5758621333,5.864617237,5.100104244,6.62913023,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.5940525129,5.878772842,5.106999641,6.650546042,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.6122428925,5.893160467,5.114074304,6.67224663,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.630433272,5.907779171,5.121366908,6.694191435,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.6486236516,5.922628011,5.12891568,6.716340342,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.6668140312,5.937706045,5.136758279,6.738653811,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.6850044107,5.95301233,5.144931687,6.761092973,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.7031947903,5.968545924,5.153472123,6.783619725,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.7213851699,5.984305884,5.162414965,6.806196803,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.7395755494,6.000291268,5.171794683,6.828787853,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.757765929,6.016501133,5.181644788,6.851357479,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.7759563086,6.032934538,5.191997772,6.873871303,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.7941466881,6.049590539,5.202885069,6.896296008,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.8123370677,6.066468194,5.214337008,6.918599379,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.8305274473,6.08356656,5.22638277,6.94075035,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.8487178268,6.100884696,5.239050343,6.962719049,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.8669082064,6.118421659,5.252366475,6.984476843,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.885098586,6.136176506,5.26635662,7.005996391,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.9032889655,6.154148253,5.281044189,7.027252316,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.9214793451,6.172335162,5.296438474,7.04823185,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.9396697247,6.190734838,5.31253591,7.068933766,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.9578601042,6.209344862,5.329330656,7.089359068,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.9760504838,6.228162817,5.34681507,7.109510563,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,0.9942408634,6.247186285,5.364979791,7.129392778,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.012431243,6.266412847,5.383813812,7.149011883,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.030621623,6.285840088,5.403304535,7.168375641,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.048812002,6.305465587,5.423437816,7.187493358,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.067002382,6.325286929,5.444198,7.206375857,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.085192761,6.345301694,5.465567936,7.225035452,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.103383141,6.365507465,5.487528993,7.243485938,-1.264195561e-16,0.700729927,0.6058394161
primary_posterior_roi_spline,STAI_trait,1.12157352,6.385901825,5.510061061,7.261742588,-1.264195561e-16,0.700729927,0.6058394161
